trial_type,subjectID,prolificID,studyID,sessionID,DEBUG,sliderOrder,half,itemID,actionPhrase,abilityResponse,abilityRT,abilityDragged,willingnessResponse,willingnessRT,willingnessDragged,trialRT,trialIndex,suspicious
whyask-trial,tpku9734jv,,,,0,AW,1,26,paint a realistic portrait,10,3399,true,5,13253,true,20736,1,false
whyask-trial,tpku9734jv,,,,0,AW,1,94,wish someone a happy birthday,100,3016,true,95,5264,true,9664,2,false
whyask-trial,tpku9734jv,,,,0,AW,1,25,change a flat tire,26,1898,true,20,28258,true,35965,3,false
whyask-trial,tpku9734jv,,,,0,AW,1,14,sing a very high note in an opera,6,2532,true,6,6832,true,19057,4,false
whyask-trial,tpku9734jv,,,,0,AW,1,20,swim a mile in open water,10,2415,true,3,17717,true,23594,5,false
whyask-trial,tpku9734jv,,,,0,AW,1,101,nod in agreement,100,1914,true,96,4698,true,21964,6,false
whyask-trial,tpku9734jv,,,,0,AW,1,69,tell someone what time it is,97,1888,true,95,11134,false,15192,7,false
whyask-trial,tpku9734jv,,,,0,AW,1,102,smile at someone,100,2188,true,97,4672,true,46888,8,false
whyask-trial,tpku9734jv,,,,0,AW,1,98,hold something for someone for a moment,95,14920,true,93,18517,true,56023,9,false
whyask-trial,tpku9734jv,,,,0,AW,1,47,go for a jog,25,2156,true,15,5990,true,20129,10,false
