trial_type,subjectID,prolificID,studyID,sessionID,DEBUG,sliderOrder,half,targetValue,passed,itemID,actionPhrase,abilityResponse,abilityRT,abilityDragged,willingnessResponse,willingnessRT,willingnessDragged,trialRT,trialIndex,suspicious
whyask-trial,tpku9734jv,,,,0,AW,2,,,38,give me $50,95,10022,true,50,6864,true,16187,11,false
whyask-trial,tpku9734jv,,,,0,AW,2,,,74,introduce two friends who would get along,96,3758,true,79,12193,true,22766,12,false
whyask-trial,tpku9734jv,,,,0,AW,2,,,46,cook dinner for a small group of friends,75,3474,true,56,12794,true,35457,13,false
whyask-trial,tpku9734jv,,,,0,AW,2,,,67,wake up early to exercise,89,5617,true,33,28740,true,36873,14,false
whyask-trial,tpku9734jv,,,,0,AW,2,,,57,share your salary with a coworker,75,4674,true,7,18157,true,36607,15,false
whyask-trial,tpku9734jv,,,,0,AW,2,,,16,donate a kidney to a family member,70,2817,true,40,8625,true,34455,16,false
whyask-trial,tpku9734jv,,,,0,AW,2,,,82,unlock your phone and hand it to an acquaintance,99,3369,false,57,8546,true,17735,17,false
whyask-trial,tpku9734jv,,,,0,AW,2,,,8,speak conversational Mandarin,8,5107,true,8,13708,true,41165,18,false
whyask-trial,tpku9734jv,,,,0,AW,2,,,21,parallel park in a very tight spot,40,2823,true,10,10924,true,17023,19,false
whyask-trial,tpku9734jv,,,,0,AW,2,,,87,open a tight jar for someone,70,2883,true,66,8057,true,14682,20,false
whyask-trial,tpku9734jv,,,,0,AW,attn,79,true,ATTN_1,,79,,true,79,,true,,ATTN_1,false
whyask-trial,tpku9734jv,,,,0,AW,attn,14,true,ATTN_2,,14,,true,14,,true,,ATTN_2,false
