trial_type,subjectID,prolificID,studyID,sessionID,DEBUG,sliderOrder,half,targetValue,passed,itemID,actionPhrase,abilityResponse,abilityRT,abilityDragged,willingnessResponse,willingnessRT,willingnessDragged,trialRT,trialIndex,suspicious
whyask-trial,jys1p0prv7,,,,0,AW,2,,,15,fly a helicopter,15,54507,true,30,76630,true,84963,11,false
whyask-trial,jys1p0prv7,,,,0,AW,2,,,50,water a friend's plants while they're away,90,8007,true,70,92523,true,96790,12,false
whyask-trial,jys1p0prv7,,,,0,AW,2,,,31,give a toast at a friend's wedding,96,9434,true,20,18984,true,27500,13,false
whyask-trial,jys1p0prv7,,,,0,AW,2,,,84,take a photo for a group of tourists,97,3840,false,75,7932,false,9339,14,false
whyask-trial,jys1p0prv7,,,,0,AW,2,,,60,call and cancel someone else's appointment for them,85,5707,true,60,15323,true,17790,15,false
whyask-trial,jys1p0prv7,,,,0,AW,2,,,74,introduce two friends who would get along,70,41907,false,50,52340,true,54440,16,false
whyask-trial,jys1p0prv7,,,,0,AW,2,,,36,cover a coworker's weekend shift,30,5299,true,10,17765,true,21490,17,false
whyask-trial,jys1p0prv7,,,,0,AW,2,,,16,donate a kidney to a family member,60,10832,true,20,24851,true,30557,18,false
whyask-trial,jys1p0prv7,,,,0,AW,2,,,6,eat an entire ghost pepper,80,7024,true,40,10299,true,20532,19,false
whyask-trial,jys1p0prv7,,,,0,AW,2,,,58,give your phone number to a pushy stranger,70,6435,true,30,14790,true,20957,20,false
whyask-trial,jys1p0prv7,,,,0,AW,attn,22,true,ATTN_1,,22,,true,22,,false,,ATTN_1,false
whyask-trial,jys1p0prv7,,,,0,AW,attn,14,true,ATTN_2,,14,,false,14,,true,,ATTN_2,false
