trial_type,subjectID,prolificID,studyID,sessionID,DEBUG,sliderOrder,half,itemID,actionPhrase,abilityResponse,abilityRT,abilityDragged,willingnessResponse,willingnessRT,willingnessDragged,trialRT,trialIndex,suspicious
whyask-trial,6e7mdwq44t,,,,0,WA,1,76,scoot over on a bench to make room,95,10111,true,90,3641,true,18541,1,false
whyask-trial,6e7mdwq44t,,,,0,WA,1,31,give a toast at a friend's wedding,95,9862,true,80,3950,true,13179,2,false
whyask-trial,6e7mdwq44t,,,,0,WA,1,26,paint a realistic portrait,10,17673,true,60,10189,true,24559,3,false
whyask-trial,6e7mdwq44t,,,,0,WA,1,21,parallel park in a very tight spot,25,12613,true,40,3895,true,19350,4,false
whyask-trial,6e7mdwq44t,,,,0,WA,1,1,run a marathon without stopping,2,11275,true,10,3760,true,16804,5,false
whyask-trial,6e7mdwq44t,,,,0,WA,1,27,assemble IKEA furniture from instructions,70,7209,true,85,3090,true,11785,6,false
whyask-trial,6e7mdwq44t,,,,0,WA,1,29,carry a heavy couch up three flights of stairs,80,21453,true,85,17456,true,28688,7,false
whyask-trial,6e7mdwq44t,,,,0,WA,1,75,hand someone a towel,95,11531,true,95,3275,true,15267,8,false
whyask-trial,6e7mdwq44t,,,,0,WA,1,25,change a flat tire,25,5921,true,40,2808,true,9972,9,false
whyask-trial,6e7mdwq44t,,,,0,WA,1,38,give me $50,65,14288,true,10,6014,true,25904,10,false
